category,key,zh_label,source,notes
profile_field,long_term_facts.hobbies.frequent_activities,长期爱好 / 活动,sheet2_结构化画像,
profile_field,long_term_facts.hobbies.solo_vs_social,长期爱好 / 独立/社交爱好,sheet2_结构化画像,
profile_field,long_term_facts.physiology.fitness_level,生理标签 / 身体基础,sheet2_结构化画像,
profile_field,long_term_facts.physiology.health_conditions,生理标签 / 疾病情况,sheet2_结构化画像,
profile_field,long_term_facts.physiology.diet_mode,生理标签 / 饮食模式,sheet2_结构化画像,
profile_field,short_term_facts.life_events,短期易变事实 / 人生大事,sheet2_结构化画像,
profile_field,short_term_facts.phase_change,短期易变事实 / 阶段变化,sheet2_结构化画像,
profile_field,short_term_facts.spending_shift,短期易变事实 / 近期消费变化,sheet2_结构化画像,
profile_field,short_term_facts.current_displacement,短期易变事实 / 当前位移,sheet2_结构化画像,
profile_field,short_term_facts.recent_habits,短期易变事实 / 连续行为,sheet2_结构化画像,
profile_field,short_term_facts.recent_interests,短期易变事实 / 近期追踪,sheet2_结构化画像,
profile_field,short_term_facts.physiological_state,短期易变事实 / 生理状态,sheet2_结构化画像,
profile_field,long_term_expression.personality_mbti,性格，我是谁 / 认知配色（MBTI）,sheet2_结构化画像,
profile_field,long_term_expression.morality,价值观与态度，我喜欢什么 / 人格与道德观,sheet2_结构化画像,
profile_field,long_term_expression.philosophy,价值观与态度，我喜欢什么 / 哲学偏好,sheet2_结构化画像,
profile_field,long_term_expression.attitude_style,价值观与态度，我喜欢什么 / 态度表达,sheet2_结构化画像,
profile_field,long_term_expression.aesthetic_tendency,审美：我喜欢什么 / 审美倾向,sheet2_结构化画像,
profile_field,long_term_expression.visual_creation_style,审美：我喜欢什么 / 视觉创作偏好,sheet2_结构化画像,
profile_field,short_term_expression.current_mood,短期易变表达：当前心境 / 情绪,sheet2_结构化画像,
profile_field,short_term_expression.mental_state,情绪周期,sheet2_结构化画像,
profile_field,short_term_expression.motivation_shift,临时人设,sheet2_结构化画像,
profile_field,short_term_expression.social_energy,表达阈值/表达欲,sheet2_结构化画像,
profile_field,short_term_expression.stress_signal,社交疲劳感,sheet2_结构化画像,
task_type,upstream_decision_task,上游反思决策,reflection_manual_seed,
task_type,downstream_decision_task,下游裁决决策,reflection_manual_seed,
task_type,proposal_review,改码提案审批,reflection_manual_seed,
task_type,difficult_case,疑难 Case 告警,reflection_manual_seed,
task_option,field_cot,改 COT,reflection_manual_seed,
task_option,tool_rule,改 tool 规则,reflection_manual_seed,
task_option,call_policy,改 tool 找证据的索引,reflection_manual_seed,
task_option,engineering_issue,工程问题,reflection_manual_seed,
task_option,watch_only,继续观察先不改,reflection_manual_seed,
task_option,critic_rule,改 Critic 规则,reflection_manual_seed,
task_option,judge_boundary,改 Judge 边界,reflection_manual_seed,
task_option,need_more_evidence,先补更多证据,reflection_manual_seed,
task_option,approve,批准并执行,reflection_manual_seed,
task_option,reject,驳回,reflection_manual_seed,
task_option,need_revision,需要修订,reflection_manual_seed,
comparison_grade,exact_match,完全匹配,reflection_manual_seed,
comparison_grade,close_match,接近匹配,reflection_manual_seed,
comparison_grade,partial_match,部分匹配,reflection_manual_seed,
comparison_grade,mismatch,不匹配,reflection_manual_seed,
comparison_grade,missing_prediction,预测缺失,reflection_manual_seed,
comparison_grade,missing_gt,GT 缺失,reflection_manual_seed,
comparison_method,rule_text_overlap,规则文本重叠,reflection_manual_seed,
comparison_method,rule_set_overlap,规则集合重叠,reflection_manual_seed,
comparison_method,manual_smoke_fixture,人工联调样例,reflection_manual_seed,
resolution_route,strategy_fix,策略修正,reflection_manual_seed,
resolution_route,difficult_case,疑难 Case,reflection_manual_seed,
resolution_route,engineering_fix,工程修复,reflection_manual_seed,
accuracy_gap_status,open,待解决,reflection_manual_seed,
accuracy_gap_status,resolved,已解决,reflection_manual_seed,
causality_route,upstream_rooted,上游原生问题,reflection_manual_seed,
causality_route,downstream_caused,下游裁决导致,reflection_manual_seed,
causality_route,downstream_helped,下游裁决纠正,reflection_manual_seed,
causality_route,downstream_exacerbated,下游裁决加剧,reflection_manual_seed,
lane,upstream,上游,reflection_manual_seed,
lane,downstream,下游,reflection_manual_seed,
task_status,new,新建,reflection_manual_seed,
task_status,pending,待处理,reflection_manual_seed,
task_status,approved,已批准,reflection_manual_seed,
task_status,rejected,已驳回,reflection_manual_seed,
task_status,need_revision,待修订,reflection_manual_seed,
task_status,acted,已处理,reflection_manual_seed,
task_status,sent,已发送,reflection_manual_seed,
task_status,not_triggered,未触发,reflection_manual_seed,
badcase_source,empty_output_candidate,空结果候选,reflection_manual_seed,
badcase_source,gt_mismatch_candidate,GT 错配候选,reflection_manual_seed,
badcase_source,downstream_audit_candidate,下游裁决候选,reflection_manual_seed,
entity_type,profile_field,画像字段,reflection_manual_seed,
metric_key,comparison_grade,匹配等级,reflection_manual_seed,
metric_key,mismatch_count,不匹配数,reflection_manual_seed,
metric_key,exact_or_close_count,精确/接近匹配数,reflection_manual_seed,
metric_key,field_key,画像标签,reflection_manual_seed,
metric_key,validation_mode,验证模式,reflection_manual_seed,
metric_key,expected_exact_or_close_count,预期精确/接近匹配数,reflection_manual_seed,
metric_key,expected_mismatch_count,预期不匹配数,reflection_manual_seed,
metric_key,expected_exact_or_close_delta,预期精确/接近匹配变化,reflection_manual_seed,
metric_key,expected_mismatch_delta,预期不匹配变化,reflection_manual_seed,
metric_value,dry_run_fast_test,快速联调演练,reflection_manual_seed,
system_term,tool_trace,tool 调用轨迹,reflection_manual_seed,
system_term,tool_rule,tool 规则,reflection_manual_seed,
system_term,call_policy,tool 调用策略,reflection_manual_seed,
system_term,field_cot,字段级 COT,reflection_manual_seed,
system_term,supporting_refs,支持证据,reflection_manual_seed,
system_term,supporting refs,支持证据,reflection_manual_seed,
system_term,tool_called,已调用 tool,reflection_manual_seed,
system_term,retrieval_hit_count,命中证据数,reflection_manual_seed,
system_term,engineering_issue,工程问题,reflection_manual_seed,
system_term,proposal_review,改码提案审批卡,reflection_manual_seed,
system_term,runtime,运行时,reflection_manual_seed,
system_term,parse,解析,reflection_manual_seed,
system_term,artifact,产物,reflection_manual_seed,
system_term,runtime/parse/artifact,运行时/解析/产物,reflection_manual_seed,
system_term,candidate,候选版本,reflection_manual_seed,
system_term,True,是,reflection_manual_seed,
system_term,False,否,reflection_manual_seed,
entity_type,primary_person,主角判断,reflection_manual_seed,
entity_type,relationship_candidate,关系候选,reflection_manual_seed,
